stat,_id,reading,ts,user
footprint.alldrive,548182cc88f663769f32d9e8,0.0,1417773772.11,7adee045-17bb-3fa6-8f45-ae833c761056
footprint.mean,548182cc88f663769f32d9e9,16.3689600878,1417773772.11,7adee045-17bb-3fa6-8f45-ae833c761056
footprint.mean.no_air,548182cc88f663769f32d9ea,16.3689600878,1417773772.11,7adee045-17bb-3fa6-8f45-ae833c761056
footprint.my_carbon,548182d288f663769f32d9eb,0.0,1417773778.91,68e6aaef-d317-3b45-9d4d-e150e0cbc8b6
footprint.my_carbon.no_air,548182d288f663769f32d9ec,0.0,1417773778.91,68e6aaef-d317-3b45-9d4d-e150e0cbc8b6
footprint.optimal,548182d288f663769f32d9ed,0.0,1417773778.91,68e6aaef-d317-3b45-9d4d-e150e0cbc8b6
footprint.optimal.no_air,548182d288f663769f32d9ee,0.0,1417773778.91,68e6aaef-d317-3b45-9d4d-e150e0cbc8b6
footprint.alldrive,548182d288f663769f32d9ef,0.0,1417773778.91,68e6aaef-d317-3b45-9d4d-e150e0cbc8b6
footprint.mean,548182d288f663769f32d9f0,16.3689600878,1417773778.91,68e6aaef-d317-3b45-9d4d-e150e0cbc8b6
footprint.mean.no_air,548182d288f663769f32d9f1,16.3689600878,1417773778.91,68e6aaef-d317-3b45-9d4d-e150e0cbc8b6
footprint.my_carbon,548182d988f663769f32d9f2,0.0,1417773785.73,c39c8281-c4c0-3504-b83c-b797dd0c4f13
footprint.mean,548182d988f663769f32d9f7,16.3689600878,1417773785.73,c39c8281-c4c0-3504-b83c-b797dd0c4f13
footprint.my_carbon.no_air,548182d988f663769f32d9f3,0.0,1417773785.73,c39c8281-c4c0-3504-b83c-b797dd0c4f13
footprint.optimal,548182d988f663769f32d9f4,0.0,1417773785.73,c39c8281-c4c0-3504-b83c-b797dd0c4f13
footprint.optimal.no_air,548182d988f663769f32d9f5,0.0,1417773785.73,c39c8281-c4c0-3504-b83c-b797dd0c4f13
footprint.alldrive,548182d988f663769f32d9f6,0.0,1417773785.73,c39c8281-c4c0-3504-b83c-b797dd0c4f13
footprint.mean.no_air,548182d988f663769f32d9f8,16.3689600878,1417773785.73,c39c8281-c4c0-3504-b83c-b797dd0c4f13
game.score,548182e088f663769f32d9f9,160.07850625,1417773792.71,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
footprint.my_carbon,548182e788f663769f32d9fa,26.4062299565,1417773799.49,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
footprint.my_carbon.no_air,548182e788f663769f32d9fb,26.4062299565,1417773799.49,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
footprint.optimal,548182e788f663769f32d9fc,26.4062299565,1417773799.49,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
footprint.optimal.no_air,548182e788f663769f32d9fd,26.4062299565,1417773799.49,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
footprint.alldrive,548182e788f663769f32d9fe,82.6739863269,1417773799.49,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
footprint.mean,548182e788f663769f32d9ff,16.3689600878,1417773799.49,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
footprint.mean.no_air,548182e788f663769f32da00,16.3689600878,1417773799.49,3a307244-ecf1-3e6e-a9a7-3aaf101b40fa
footprint.my_carbon,548182ee88f663769f32da01,247.207482909,1417773806.23,cf851c5b-0a0c-37fc-9bca-64447b2c386b
footprint.my_carbon.no_air,548182ee88f663769f32da02,247.207482909,1417773806.23,cf851c5b-0a0c-37fc-9bca-64447b2c386b
footprint.optimal,548182ee88f663769f32da03,81.5021653201,1417773806.23,cf851c5b-0a0c-37fc-9bca-64447b2c386b
footprint.optimal.no_air,548182ee88f663769f32da04,81.5021653201,1417773806.23,cf851c5b-0a0c-37fc-9bca-64447b2c386b
footprint.alldrive,548182ee88f663769f32da05,249.181127408,1417773806.23,cf851c5b-0a0c-37fc-9bca-64447b2c386b
footprint.mean,548182ee88f663769f32da06,16.3689600878,1417773806.23,cf851c5b-0a0c-37fc-9bca-64447b2c386b
footprint.mean.no_air,548182ee88f663769f32da07,16.3689600878,1417773806.23,cf851c5b-0a0c-37fc-9bca-64447b2c386b
footprint.my_carbon,548182f588f663769f32da08,0.0,1417773813.02,31a81517-ab80-3aa7-be11-272db48f7e44
footprint.my_carbon.no_air,548182f588f663769f32da09,0.0,1417773813.02,31a81517-ab80-3aa7-be11-272db48f7e44
footprint.optimal,548182f588f663769f32da0a,0.0,1417773813.02,31a81517-ab80-3aa7-be11-272db48f7e44
footprint.optimal.no_air,548182f588f663769f32da0b,0.0,1417773813.02,31a81517-ab80-3aa7-be11-272db48f7e44
footprint.alldrive,548182f588f663769f32da0c,0.0,1417773813.02,31a81517-ab80-3aa7-be11-272db48f7e44
footprint.mean,548182f588f663769f32da0d,16.3689600878,1417773813.02,31a81517-ab80-3aa7-be11-272db48f7e44
footprint.mean.no_air,548182f588f663769f32da0e,16.3689600878,1417773813.02,31a81517-ab80-3aa7-be11-272db48f7e44
footprint.my_carbon,548182fb88f663769f32da0f,0.0,1417773819.8,51a817ff-8e52-390b-b0e1-61be00ea8dce
footprint.my_carbon.no_air,548182fb88f663769f32da10,0.0,1417773819.8,51a817ff-8e52-390b-b0e1-61be00ea8dce
footprint.optimal,548182fb88f663769f32da11,0.0,1417773819.8,51a817ff-8e52-390b-b0e1-61be00ea8dce
footprint.optimal.no_air,548182fb88f663769f32da12,0.0,1417773819.8,51a817ff-8e52-390b-b0e1-61be00ea8dce
footprint.alldrive,548182fb88f663769f32da13,0.0,1417773819.8,51a817ff-8e52-390b-b0e1-61be00ea8dce
footprint.mean,548182fb88f663769f32da14,16.3689600878,1417773819.8,51a817ff-8e52-390b-b0e1-61be00ea8dce
footprint.mean.no_air,548182fb88f663769f32da15,16.3689600878,1417773819.8,51a817ff-8e52-390b-b0e1-61be00ea8dce
footprint.my_carbon,5481830288f663769f32da16,0.0,1417773826.6,ad4b5908-2a1d-3c16-916e-db945daf5539
footprint.my_carbon.no_air,5481830288f663769f32da17,0.0,1417773826.6,ad4b5908-2a1d-3c16-916e-db945daf5539
footprint.optimal,5481830288f663769f32da18,0.0,1417773826.6,ad4b5908-2a1d-3c16-916e-db945daf5539
footprint.optimal.no_air,5481830288f663769f32da19,0.0,1417773826.6,ad4b5908-2a1d-3c16-916e-db945daf5539
footprint.alldrive,5481830288f663769f32da1a,0.0,1417773826.6,ad4b5908-2a1d-3c16-916e-db945daf5539
footprint.mean,5481830288f663769f32da1b,16.3689600878,1417773826.6,ad4b5908-2a1d-3c16-916e-db945daf5539
footprint.mean.no_air,5481830288f663769f32da1c,16.3689600878,1417773826.6,ad4b5908-2a1d-3c16-916e-db945daf5539
game.score,5481830988f663769f32da1d,40.0,1417773833.59,57604514-30d2-3da4-a606-8cdfcc38e434
game.score,5481831088f663769f32da1e,55.1586499334,1417773840.53,c4bc7428-df7a-30f5-82cc-bb3b0eb240f8
footprint.my_carbon,5481831788f663769f32da1f,11.2718719702,1417773847.29,c4bc7428-df7a-30f5-82cc-bb3b0eb240f8
footprint.my_carbon.no_air,5481831788f663769f32da20,11.2718719702,1417773847.29,c4bc7428-df7a-30f5-82cc-bb3b0eb240f8
footprint.optimal,5481831788f663769f32da21,3.73025978869,1417773847.29,c4bc7428-df7a-30f5-82cc-bb3b0eb240f8
footprint.optimal.no_air,5481831788f663769f32da22,3.73025978869,1417773847.29,c4bc7428-df7a-30f5-82cc-bb3b0eb240f8
footprint.alldrive,5481831788f663769f32da23,11.3662088254,1417773847.29,c4bc7428-df7a-30f5-82cc-bb3b0eb240f8
footprint.mean,5481831788f663769f32da24,16.3689600878,1417773847.29,c4bc7428-df7a-30f5-82cc-bb3b0eb240f8
footprint.mean.no_air,5481831788f663769f32da25,16.3689600878,1417773847.29,c4bc7428-df7a-30f5-82cc-bb3b0eb240f8
game.score,5481831e88f663769f32da26,30.0,1417773854.42,321f2ee9-067e-3276-96a6-8c427f06c5a4
