stat,_id,reading,client_ts,user
POST /stats/set,5480cd7f88f663649ac20d2e,0.0710589885712,1417727359.27,e0509a4e-9842-3c73-8050-875b6383c097
tripManager.pctShown,5480cdfa88f663649ac20d2f,0.136363636364,1417727482.66,f4254389-3592-3cd5-b206-462fb6eaa7b5
POST /tripManager/getUnclassifiedSections,5480cdfa88f663649ac20d30,0.270682096481,1417727482.73,f4254389-3592-3cd5-b206-462fb6eaa7b5
POST /stats/set,5480cdfc88f663649ac20d36,0.0676128864288,1417727484.04,f4254389-3592-3cd5-b206-462fb6eaa7b5
POST /tripManager/getUnclassifiedSections,5480ce4e88f663649ac20d37,0.184153795242,1417727566.69,13d078f5-885c-34d2-b853-d908ea604a09
POST /tripManager/getUnclassifiedSections,5480cf5488f663649ac20d38,0.211863994598,1417727828.36,a7f206ff-fcaa-3d34-bf1b-91cd02340f94
tripManager.pctShown,5480d22688f663649ac20d39,0.0576441102757,1417728550.94,527e98f8-710d-3719-93f2-ab140d1439ba
POST /tripManager/getUnclassifiedSections,5480d22788f663649ac20d3a,0.314944982529,1417728551.07,527e98f8-710d-3719-93f2-ab140d1439ba
POST /stats/set,5480d23188f663649ac20d40,0.0685610771179,1417728561.23,527e98f8-710d-3719-93f2-ab140d1439ba
tripManager.pctShown,5480d29888f663649ac20d41,1.0,1417728664.56,428ad63d-023d-3a67-80d9-2214f04f89c4
POST /tripManager/getUnclassifiedSections,5480d29888f663649ac20d42,0.277924060822,1417728664.65,428ad63d-023d-3a67-80d9-2214f04f89c4
POST /stats/set,5480d29a88f663649ac20d53,0.0884289741516,1417728666.15,428ad63d-023d-3a67-80d9-2214f04f89c4
POST /tripManager/getUnclassifiedSections,5480d3e988f663649ac20d54,0.189203023911,1417729001.33,9a9883f4-bde7-3ce5-beec-e1d6b8bf8f56
POST /tripManager/setSectionClassification,5480de1e88f663649ac20d55,0.185525894165,1417731614.0,51d91915-19d5-3cdf-ab5c-53bc75b99ab7
